id	source	target
389	A148	C1250
390	A149	B593
391	A149	C994
392	A149	C1001
393	A150	B286
394	A150	C1195
395	A151	B212
396	A151	C746
397	A152	B753
398	A152	C1095
399	A153	B426
400	A153	C1088
401	A154	B163
402	A154	C32
403	A155	B712
404	A155	C1206
405	A156	B227
406	A156	C1124
407	A156	C1125
408	A156	C1130
409	A157	B475
410	A157	C807
411	A157	C864
412	A158	B300
413	A158	C1177
414	A159	B773
415	A159	C879
416	A159	C897
417	A159	C985
418	A159	C1006
419	A159	B777
420	A159	C999a
421	A160	B376
422	A160	C279
423	A161	B264
424	A161	C568
425	A161	C569
426	A162	B443
427	A162	C276
428	A163	B552
429	A163	C1436
430	A164	B215
431	A164	C623
432	A165	B61
433	A165	C823
434	A166	B272
435	A166	C563
436	A167	B123
437	A167	C133
438	A168	B179
439	A168	C933
440	A169	B521
441	A169	C1337
442	A170	B151
443	A170	C1116
444	A171	B551
445	A171	C17
446	A172	B7
447	A172	C942
448	A173	B604
449	A173	C289
450	A174	B556
451	A174	C338
452	A175	B475
453	A175	C113
454	A175	C114
455	A176	B466
456	A176	C827
457	A176	C829
458	A177	B473
459	A177	C534
460	A178	B287
461	A178	C1457
462	A179	B70
463	A179	C43
464	A180	B186
465	A180	C1144
466	A180a	B527
467	A180a	C1457
468	A181	B505
469	A181	C1058
470	A181	C1063
471	A182	B376
472	A182	C277
473	A182	B615
474	A182	C304
475	A183	B613
476	A183	C316
477	A184	B263
478	A184	C562
479	A185	B694
480	A185	C445
481	A186	B460
482	A186	C788
483	A187	B459
484	A187	C354
485	A188	B662
486	A188	C1330
487	A189	B214
488	A189	C984
489	A189	C995
490	A189	B838
491	A189	C961
492	A190	B441
493	A190	C1119
494	A191	B692
495	A191	C920
496	A192	B472
497	A192	C315
498	A193	B328
499	A193	C204
500	A194	B473
501	A194	C989
502	A195	B1
503	A195	C17
504	A196	B297
505	A196	C850
506	A196	C861
507	A196	C864
508	A197	B166
509	A197	C1457
510	A198	B236
511	A198	C93
512	A198	C94
513	A199	B123
514	A199	C762
515	A199	C763
516	A200	B484
517	A200	C232
518	A200	C334
519	A201	B61
520	A201	C905
521	A202	B290
522	A202	C1121
523	A203	B60
524	A203	C33
525	A204	B730
526	A204	C1148
527	A205	B473
528	A205	C139
529	A206	B174
530	A206	C956
531	A206	C963
532	A206	C983
533	A207	B436
534	A207	C857
535	A208	B475
536	A208	C165
537	A209	B630
538	A209	C387
539	A210	B613
540	A210	C316
541	A211	B95
542	A211	C1117
543	A212	B754
544	A212	C1097
545	A212	C1131
546	A213	B89
547	A213	C1247
548	A214	B540
549	A214	C1079
550	A214	C1080
551	A214	C1082
552	A215	B314
553	A215	C884
554	A216	B95
555	A216	C1117
556	A217	B9
557	A217	C347
558	A217	C348
559	A218	B418
560	A218	C778
561	A219	B510
562	A219	C834
563	A220	B271
564	A220	C7
565	A220	C22
566	A220	B382
567	A220	C22
568	A221	B816
569	A221	C1117
570	A222	B384
571	A222	C1051
572	A223	B699
573	A223	C1209
574	A224	B811
575	A224	C1457
576	A225	B578
577	A225	C603
578	A225	C635
579	A226	B365
580	A226	C71
581	A227	B376
582	A227	C959
583	A227	C965
584	A227	C971
585	A228	B775
586	A228	C853
587	A229	B140
588	A229	C905
589	A229	B502
590	A229	C9
591	A229	C86
592	A230	B251
593	A230	C826
594	A230	C895
595	A231	B685
596	A231	C152
597	A231a	B701a
598	A231a	C202a
599	A232	B475
600	A232	C862
601	A234	B166
602	A234	C1457
603	A235	B73
604	A235	C45
605	A236	B7
606	A236	C917
607	A236	C933
608	A237	B271
609	A237	C909
610	A238	B173
611	A238	C580
612	A239	B803
613	A239	C1202
614	A240	B563
615	A240	C424
616	A241	B391
617	A241	C999
618	A242	B525
619	A242	C39
620	A243	B776
621	A243	C77
622	A243	C92
623	A243	C975
624	A244	B214
625	A244	C621
626	A245	B312
627	A245	C109
628	A246	B312
629	A246	C106
630	A247	B164
631	A247	C757
632	A249	B22
633	A249	C1172
634	A250	B132
635	A250	C991
636	A251	B216
637	A251	C132
638	A252	B448
639	A252	C575
640	A253	B74
641	A253	B216
642	A253	C241
643	A254	B676
644	A254	C796a
645	A255	B717
646	A255	C39
647	A255	C41
648	A256	B753
649	A256	C306
650	A257	B831
651	A257	C508
652	A258	B305
653	A258	C7
654	A259	B579
655	A259	C1079
656	A259	C1080
657	A259	C1081
658	A259	C1082
659	A260	B426
660	A260	C1079
661	A260	C1080
662	A260	C1081
663	A260	C1082
664	A261	B488
665	A261	C849
666	A261	C850
667	A261	C856
668	A261	C860
669	A261	C869
670	A261	B647
671	A261	C869
672	A262	B47
673	A262	C540
674	A263	B646
675	A263	C192
676	A263	C223
677	A263	C342
678	A264	B35
679	A264	C639
680	A264	C640
681	A264	B183
682	A264	B537
683	A264	C562
684	A265	B259
685	A265	C952
686	A266	B734
687	A266	C693
688	A267	B600
689	A267	C1436
690	A268	B190
691	A268	C484
692	A269	B158
693	A269	C133
694	A269	C135
695	A270	B239
696	A270	C1268
697	A271	B118
698	A271	C1446
699	A271	C1454
700	A272	B50
701	A272	C1359
702	A273	B114
703	A273	C352
704	A273	C426
705	A273	C575
706	A273	C824
707	A273	C831
708	A274	B87
709	A274	C1458
710	A275	B326
711	A275	C1452
712	A276	B540
713	A276	C1099
714	A276	B728
715	A276	C905
716	A277	B57
717	A277	C479
718	A278	B570
719	A278	C933
720	A279	B596
721	A279	C225
722	A280	B641
723	A280	C936
724	A281	B831
725	A281	C150
726	A281	C160
727	A281	C526
728	A282	B179
729	A282	C933
730	A283	B68
731	A283	C923
732	A284	B308
733	A284	C913
734	A285	B367
735	A285	C527
736	A285	C658
737	A285	C665
738	A285	C669
739	A286	B119
740	A286	C1455
741	A286a	B371
742	A286a	C1463
743	A287	B357
744	A287	C933
745	A288	B479
746	A288	C1371
747	A289	B377
748	A289	C1457
749	A290	B580
750	A290	C922
751	A290	C994
752	A290	C1001
753	A291	B763
754	A291	C94
755	A291	C108
756	A291	C122
757	A292	B397
758	A292	C245
759	A292	C332
760	A292	C344
761	A293	B206
762	A293	C1032
763	A294	B488
764	A294	C856
765	A294	C868
766	A294	C870
767	A295	B429
768	A295	C1377
769	A296	B688
770	A296	C139
771	A297	B8
772	A297	C271
773	A298	B119
774	A298	C1455
775	A299	B517
776	A299	C660
777	A300	B120
778	A300	C1456
779	A301	B212
780	A301	C809
781	A301	C978
782	A302	B197
783	A302	C538
784	A302	C550
785	A303	B763
786	A303	C130
787	A303	C136
788	A303	C1261
789	A303	C1262
790	A304	B570
791	A304	C933
792	A305	B623
793	A305	C365
794	A305	C371
795	A305	C377
796	A306	B345
797	A306	C84
798	A307	B764
799	A307	C679
800	A307	C696
801	A307	C697
802	A307	C698
803	A308	B497
804	A308	C425
805	A309	B363
806	A309	C932
807	A310	B773
808	A310	C325
809	A311	B155
810	A311	C563
811	A312	B43
812	A312	C523
813	A313	B692
814	A313	C177
815	A314	B297
816	A314	C851
817	A314	C867
818	A315	B640
819	A315	C1120
820	A316	B560
821	A316	C637
822	A316	C638
823	A316	B658
824	A316	C420
825	A317	B220
826	A317	C628
827	A317	B292
828	A317	C416
829	A318	B89
830	A318	C1099
831	A318	C1103
832	A318	C1104
833	A318a	B496
834	A318a	C870
835	A319	B740
836	A319	C1356
837	A320	B731
838	A320	C1117
839	A321	B186
840	A321	C1117
841	A322	B164
842	A322	C512
843	A323	B699
844	A323	C1117
845	A324	B290
846	A324	C1117
847	A325	B551
848	A325	C22
849	A326	B396
850	A326	C384
851	A326	C412
852	A327	B86
853	A327	C900
854	A327	B362
855	A327	C636
856	A328	B427
857	A328	C302
858	A329	B8
859	A329	C401
