id	source	target
357	A1513	C793
358	A1514	B10
359	A1514	C639
360	A1515	B158
361	A1515	C133
362	A1515	C135
363	A1516	B100
364	A1516	C1043
365	A1517	B454
366	A1517	C286
367	A1518	B530
368	A1518	C13
369	A1	B203
370	A1	C602
371	A2	B515
372	A2	C1446
373	A3	B397
374	A3	C168
375	A3	C490
376	A3	C491
377	A4	B377
378	A4	C1457
379	A5	B536
380	A5	C952
381	A6	B433
382	A6	C1003
383	A7	B643
384	A7	C215
385	A8	B272
386	A8	C601
387	A9	B158
388	A9	C133
389	A9	C135
390	A9	B234
391	A9	C1399
392	A9	B701
393	A9	C1387
394	A10	B650
395	A10	C72
396	A11	B275
397	A11	C1154
398	A12	B248
399	A12	C1079
400	A12	C1080
401	A12	C1081
402	A12	C1082
403	A12a	B288
404	A12a	C1458
405	A13	B781
406	A13	C1329
407	A14	B99
408	A14	C755
409	A15	B125
410	A15	C1149
411	A16	B452
412	A16	C1143
413	A16	C1225
414	A17	B663
415	A17	C122
416	A18	B275
417	A18	C1155
418	A19	B281
419	A19	C151
420	A19	C158
421	A19	C159
422	A19	C261
423	A20	B140
424	A20	C73
425	A21	B108
426	A21	C1050
427	A22	B146
428	A22	C823
429	A23	B676
430	A23	C477
431	A24	B183
432	A24	C562
433	A25	B783
434	A25	C1097
435	A26	B35
436	A26	C641
437	A27	B416
438	A27	C403
439	A27	C761
440	A28	B510
441	A28	C1127
442	A29	B31
443	A29	C660
444	A30	B10
445	A30	C639
446	A31	B362
447	A31	C633
448	A32	B148
449	A32	C980
450	A32	B308
451	A32	C927
452	A33	B235
453	A33	C1150
454	A34	B549
455	A34	C1278
456	A35	B699
457	A35	C1209
458	A36	B485
459	A36	C203a
460	A36	C220
461	A36	C221
462	A36	C229
463	A37	B802
464	A37	C1192
465	A38	B701
466	A38	C1419
467	A39	B308
468	A39	C906
469	A40	B9
470	A40	C349
471	A41	B737
472	A41	C562
473	A42	B419
474	A42	C78
475	A43	B625
476	A43	C126
477	A43	C128
478	A43	C242
479	A43	C344
480	A43	B705
481	A43	C94
482	A43	C124
483	A43	C378
484	A44	B323
485	A44	C71
486	A45	B179
487	A45	C934
488	B406	A794
489	B406	C20
490	B407	A2126
491	B407	C1312
492	B408	A148
493	B408	A391
494	B408	A1173
495	B408	A1683
496	B408	C800
497	B408	C1248
498	B408	C1250
499	B409	A2042C342
500	B410	A1099
501	B410	C1269
502	B410	C1270
503	B411	A2161
504	B411	C148
505	B412	A1786
506	B412	C136
507	B412	C172
508	B412	C174
509	B412	C175
510	B413	A1753
511	B413	C1191
512	B414	A763
513	B414	C61
514	B414	C64
515	B415	A1658
516	B415	C1050
517	B415	C1053
518	B415	C1056
519	B416	A27
520	B416	A118
521	B416	A468
522	B416	A1264
523	B416	A1308
524	B416	A1834
525	B416	A2024
526	B416	C156
527	B416	C403
528	B416	C582
529	B416	C604
530	B416	C643
531	B416	C650
532	B416	C676680
533	B416	C761
534	B416	C1265
535	B417	A1390
536	B417	C871
537	B418	A218
538	B418	A655
539	B418	C778
540	B418	C1464
541	B419	A42
542	B419	A549
543	B419	A1263
544	B419	C78
545	B419	C238
546	B419	C239
547	B419	C240
548	B420	A1825
549	B420	C408
550	B421	A1262
551	B421	C1247
552	B422	A2185
553	B422	C835
554	B422	C839
555	B423	A1608
556	B423	C652
557	B424	A1297
558	B424	A1903
559	B424	C810
560	B424	C1436
561	B425	A757
562	B425	C1288
563	B426	A64
564	B426	A68
565	B426	A153
566	B426	A260
567	B426	C1079
568	B426	C1080
569	B426	C1081
570	B426	C1082
571	B426	C1084
572	B426	C1088
573	B426	C1090
574	B426	C1093
575	B427	A328
576	B427	A332
577	B427	A1285
578	B427	A1305
579	B427	A1593
580	B427	A1615
581	B427	A2029
582	B427	C302
583	B427	C422
584	B427	C425
585	B427	C427
586	B427	C428
587	B427	C459
588	B427	C632
589	B428	A762
590	B428	A1231
591	B428	C670
592	B429	A295
593	B429	A544
594	B429	A1701
595	B429	C1373
596	B429	C1374
597	B429	C1376
598	B429	C1377
599	B430	A1470
600	B430	C933
601	B431	A727
602	B431	C2
603	B431	C3
604	B432	A1241
605	B432	C423
606	B433	A6
607	B433	A644
608	B433	A748
609	B433	A801
610	B433	A1073
611	B433	A1487
612	B433	A1923
613	B433	A2070
614	B433	C123
615	B433	C184
616	B433	C190
617	B433	C352
618	B433	C426
619	B433	C433490
620	B433	C492
621	B433	C575
622	B433	C579
